Timestamp	Filename	Error	Message
2018-06-12 11:11:38.718 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:12:01.550 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:12:01.554 -0400	Button Click 2	3703	Unknown Error: <unknown>.
2018-06-12 11:12:01.555 -0400	Button Click 2	0	script steps imported : 5
2018-06-12 11:12:01.560 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:12:12.550 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:12:12.552 -0400	Button Click	0	script steps imported : 1
2018-06-12 11:12:12.552 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:12:17.486 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:12:17.487 -0400	Button Click 2	3703	Unknown Error: <unknown>.
2018-06-12 11:12:17.487 -0400	Button Click 2	0	script steps imported : 1
2018-06-12 11:12:17.488 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:13:47.398 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:13:47.399 -0400	Button Click	0	script steps imported : 1
2018-06-12 11:13:47.399 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:14:46.193 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:14:46.199 -0400	Button Click 2	0	script steps imported : 17
2018-06-12 11:14:46.201 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:17:17.380 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:17:17.385 -0400	Button Click 3	0	script steps imported : 17
2018-06-12 11:17:17.389 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:18:02.030 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:18:02.035 -0400	Button Click 4	0	script steps imported : 17
2018-06-12 11:18:02.040 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:18:48.839 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:18:48.845 -0400	Button Click 5	0	script steps imported : 17
2018-06-12 11:18:48.846 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:19:18.709 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:19:18.715 -0400	Button Click 6	0	script steps imported : 17
2018-06-12 11:19:18.715 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:19:47.830 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:19:47.835 -0400	Button Click 7	0	script steps imported : 17
2018-06-12 11:19:47.835 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:20:18.007 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:20:18.013 -0400	Button Click 8	0	script steps imported : 17
2018-06-12 11:20:18.016 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:20:59.283 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:20:59.288 -0400	Button Click 9	0	script steps imported : 17
2018-06-12 11:20:59.292 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:27:28.945 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:27:28.947 -0400	newgame	0	script steps imported : 4
2018-06-12 11:27:28.948 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:30:49.468 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:30:49.470 -0400	Button Click 2	0	script steps imported : 1
2018-06-12 11:30:49.470 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:30:57.010 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:30:57.012 -0400	Button Click 2	0	script steps imported : 1
2018-06-12 11:30:57.012 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:05.695 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:05.696 -0400	Button Click	0	script steps imported : 1
2018-06-12 11:31:05.696 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:11.771 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:11.772 -0400	Button Click	0	script steps imported : 1
2018-06-12 11:31:11.773 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:16.732 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:16.733 -0400	Button Click 3	0	script steps imported : 1
2018-06-12 11:31:16.733 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:21.299 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:21.301 -0400	Button Click 3	0	script steps imported : 1
2018-06-12 11:31:21.302 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:25.753 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:25.754 -0400	Button Click 4	0	script steps imported : 1
2018-06-12 11:31:25.754 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:28.274 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:28.275 -0400	Button Click 4	0	script steps imported : 1
2018-06-12 11:31:28.275 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:34.514 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:34.515 -0400	Button Click 5	0	script steps imported : 1
2018-06-12 11:31:34.515 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:36.840 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:36.841 -0400	Button Click 5	0	script steps imported : 1
2018-06-12 11:31:36.841 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:43.035 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:43.036 -0400	Button Click 6	0	script steps imported : 1
2018-06-12 11:31:43.037 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:47.482 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:47.484 -0400	Button Click 6	0	script steps imported : 1
2018-06-12 11:31:47.484 -0400	TicTacToe.fmp12	0	Import completed
